index,title,reviews,recommends(%),authors,publisher,price_n,price_r
"42","真希望我父母读过这本书（二十年资历心理治疗师写给父母和孩子的情感沟通书）","173558","100","菲莉帕・佩里","中信出版社","31.20","48.00"
"43","悉达多（译者姜乙翻译）【果麦经典】","210254","100","赫尔曼・黑塞","天津人民出版社","16.00","32.00"
"44","万物由来科学绘本 写给孩子的科普绘本","418136","100","项华","北京联合出版有限公司","20.00","42.00"
"45","我能管好我自己：漫画小学生时间管理","2945","100","读书堂","古吴轩出版社","20.10","42.00"
"46","金奖好书 小学生必背古诗词75+80首全国通用1-6年级含统编版人教版RJ教材必背129首(王芳推荐)共200首超47万读者热评全国多地语文老师推荐彩绘注音有声版团购电话4001066666转6","485048","100","说词解字辞书研究中心","华语教学出版社","28.00","28.00"
"47","东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）","2064091","99.9","东野圭吾","南海出版公司","29.80","59.60"
"48","第七天（2022版，余华长篇小说经典，比《活着》更绝望，比《兄弟》更荒诞，获华语文学传媒大奖）","361101","100","余华","新星出版社","33.80","49.00"
"49","走遍中国 图说天下 寻梦之旅","529791","100","霍晨昕","四川人民出版社","20.00","29.90"
"50","跟着诗词去旅行 图说天下 寻梦之旅","288955","100","郝娟菡","四川人民出版社","20.00","29.90"
"51","好好说话：非暴力沟通幼儿版 [3-6岁]","42591","100","克里斯蒂娜・特巴尔","太白文艺出版社","24.00","48.00"
"52","世界上最棒的礼物――图画中隐藏无数细节，让小小孩玩过瘾！","221817","100","赖马","北京联合出版有限公司","22.90","45.80"
"53","和古代学霸握个手","32553","100","急脚大师","南方出版社","27.80","58.00"
"54","苏东坡传（林语堂纪念典藏精装版）","934840","99.9","林语堂","湖南文艺出版社","26.00","52.00"
"55","趣说中国史1+2（全2册）","273027","100","趣哥","台海出版社","49.80","99.60"
"56","【2022年新版】中华人民共和国民法典注释本（第二版）（百姓实用版）","48737","99.9","法律出版社法规中心","法律出版社","21.30","68.00"
"57","中国地理百科全书我的第一本世界地理启蒙书写给儿童的自然科学读物少儿大百科全书6-8-12岁小学生科学课外书","1581","100","青蓝图书","中航出版传媒有限责任公司","49.80","49.80"
"58","妈妈买绿豆（3-8岁） 信谊幼儿文学奖","158361","100","曾阳晴","明天出版社","17.90","35.80"
"59","始于极限：女性主义往复书简（上野千鹤子蕞新代表作，万千读者共鸣的坦诚对话，“皱巴巴的心都被熨平了”）","153731","100","上野千鹤子","新星出版社","29.50","59.00"
"60","东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，简体中文1000万册纪念版）","2564600","99.7","东野圭吾","南海出版公司","29.50","59.00"
"61","杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球5000万家庭的“教养宝典”，奥巴马、贝克汉姆、奥普拉鼎力推荐）","1003323","100","哈珀・李","译林出版社","34.80","58.00"
"62","圆圈正义","212437","100","罗翔","中国法制出版社","20.70","46.00"
"63","我爸爸+我妈妈（全2册）――清华附小推荐经典儿童绘本 ！（启发童书馆出品）","948807","99.8","安东尼・布朗","河北教育出版社","39.80","79.60"
"64","我从未如此眷恋人间：周深“终于开始学会眷恋这人间”史铁生、季羡林、余光中、丰子恺等联手献作，把深情写入文字，告诉你这世间原来是它们最惹人恋。","31098","100","史铁生","读者出版社","12.50","49.80"
"65","神奇校车・桥梁书版（全20册）","1472477","99.9","乔安娜柯尔","贵州人民出版社","75.00","150.00"
"66","活法","413574","99.8","稻盛和夫","东方出版社","26.60","38.00"
"67","狂人日记：鲁迅小说全集（1938年复社底本，中国白话小说开山之作。收录鲁迅全部小说，多篇入选语文课本）团购电话：4001066666转6","181991","100","鲁迅","中国友谊出版公司","35.80","39.80"
"68","毛泽东选集（全四册，32开）","264510","99.9","毛泽东","人民出版社","56.70","81.00"
"69","少年读史记（套装全5册）","1301172","99.9","张嘉骅","青岛出版社","39.00","100.00"
"70","草房子（当当定制版）","419926","99.4","曹文轩","天天出版社有限责任公司","8.70","25.00"
"71","最温柔的教养（130则实用亲子用语范例，治愈童年的自己，温暖孩子的一生）","170409","100","吴恩瑛","中信出版社","38.30","59.00"
"72","作家榜名著：月亮与六便士（全新未删节插图珍藏版！毛姆写给年轻人的梦想之书！满地都是六便士，他却抬头看见了月亮！）","1479960","100","毛姆","浙江文艺出版社","19.90","39.80"
"73","在细雨中呼喊（精装版）","116048","100","余华","北京十月文艺出版社","27.20","39.50"
"74","作家榜名著：孙子兵法（教你一生不败的智慧！孙子兵法未删节插图珍藏版！大白话注音版！印数狂飙突破10万+册！）","3490","100","孙武","浙江文艺出版社","34.40","49.90"
"75","暖房子・屁屁侦探系列（套装共7册）","219897","100","Troll","海豚出版社","57.50","115.00"
"76","青铜葵花正版曹文轩纯美小说7-8-9-10-12岁草房子系列儿童文学校园青少年版四五六年级下册小学生课外阅读书籍全套原版完整版","485836","99.9","曹文轩","江苏少年儿童出版社","9.90","22.00"
"77","平凡的世界：全三册（全新2021版，茅盾文学奖获奖作品，激励青年的不朽经典）","1106459","100","路遥","北京十月文艺出版社","98.00","138.00"
"78","罪与罚 犯罪心理分析小说的大师级经典之作 世界名著典藏","111018","100","陀思妥耶夫斯基","中央编译出版社","27.20","32.00"
"79","人间真趣","5154","100","老舍","民主与建设出版社","32.20","46.00"
"80","地藏菩萨本愿经（简体、横排、注音、国学经典诵读本）","59660","100","中华文化讲堂","团结出版社","9.90","18.00"
"81","波西和皮普7册经典套装（小小聪明豆系列绘本）0-3岁低幼启蒙情绪管理绘本，发现快乐，体验成长！","254903","100","阿克塞尔・舍夫勒","外语教学与研究出版社","36.50","73.00"
"82","翦商：殷周之变与华夏新生（许宏作序；罗翔年度推荐；《南方周末》2022年度十大好书；一部夏商周启示录）","64071","99.9","李硕","广西师范大学出版社","49.50","99.00"
"83","全球最美的100个地方 图说天下 寻梦之旅","58641","100","图说天下","四川人民出版社","20.00","29.90"
"84","杨绛传（先生的1911到2016）","140","100","吴牧宸","台海出版社","49.00","49.00"
"85","遥远的救世主（天道原著王志文主演电视剧畅销遥远的救世主作者豆豆三部曲之一）","530810","99.9","豆豆","作家出版社","24.00","48.00"
"86","我们的身体","670462","99.9","艾德兰","未来出版社","69.80","155.00"
"87","如果历史是一群喵11・南宋金元篇","99331","100","肥志","广东旅游出版社","40.66","59.80"
"88","置身事内：中国政府与经济发展（罗永浩、罗振宇、何帆、刘格菘、张军、周黎安、王烁联袂推荐，复旦经院毕业课）","221537","100","兰小欢","上海人民出版社","32.50","65.00"
"89","马尔克斯：百年孤独（50周年纪念版）","2244577","99.8","加西亚・马尔克斯","南海出版公司","39.60","55.00"
"90","文明的兴衰：一场纵横古今的人类文明之旅","2572","100","本村凌二","中国友谊出版公司","45.50","49.00"
"91","那个不为人知的故事","232922","100","Twentine","四川文艺出版社","20.10","42.00"
"92","时代广场的蟋蟀：麦克米伦世纪大奖小说最新升级版","593428","100","乔治・塞尔登","二十一世纪出版社","11.30","25.00"
"93","孔子来了！―论语可以这样读（孔子真有趣！在捧腹大笑间读懂《论语》。精装典藏版。歪歪兔童书馆出品）","16850","100","大梁如姬","海豚出版社","57.60","128.00"
"94","纳瓦尔宝典：从白手起家到财务自由，硅谷知名天使投资人纳瓦尔智慧箴言录","77784","100","埃里克・乔根森","中信出版社","68.00","68.00"
"95","心安即是归处：季羡林百年生命智慧。央视《朗读者》多次动情朗读本书名篇。","474795","100","季羡林","古吴轩出版社","16.00","49.00"
"96","吉竹伸介经典绘本大套装（全8册）","1397","99.9","吉竹伸介","江苏凤凰少年儿童出版社","219.20","438.40"
"97","非暴力沟通（修订版）","835693","100","马歇尔","华夏出版社","48.10","59.80"
"98","尼尔斯骑鹅旅行记历险记彩绘注音版 6-12岁小学生课外阅读书籍 一二三年级儿童文学读物带拼音世界经典名著","24315","100","长江出版社","长江出版社","19.80","19.80"
"99","哲学家的狗：一本让人捧腹大笑的超萌醒脑哲学书","15","100","塞缪尔・多德森","中国友谊出版公司","46.20","49.80"
"100","半小时漫画青春期（全2册）（青春期少年身心困扰，就读半小时漫画青春期，爆笑漫画讲害羞的问题）新老版随机发货","16562","100","陈磊・半小时漫画团队","天津科学技术出版社","49.40","98.90"
"101","DK玩出来的百科：动手玩转数学套装（套装全三册）","38989","99.9","DK公司","国家开放大学出版社","169.00","384.00"
"102","一句顶一万句（一本让“中国脱口秀扛把子”李诞连声叫绝的茅奖好书，当当专享印签本）","234675","99.8","刘震云","花城出版社","34.00","68.00"
"103","把自己当回事儿（销量超过60万册！杨天真的沟通秘籍)蔡康永、樊登、罗永浩推荐，李诞、马伊�P、脱不花作序）","165673","100","杨天真","北京联合出版有限公司","38.60","56.00"
"104","皮特猫・3~6岁好性格养成书：共四辑（套装1~4辑）（乐观、积极、开朗…荣获多项大奖的好性格榜样）新老版随机发货","558716","100","詹姆斯・迪安","文汇出版社","279.80","559.60"
"105","失落的一代：中国的上山下乡运动1968-1980（增订版）","88231","99.4","潘鸣啸","中国大百科全书出版社","27.00","54.00"
"106","写给儿童的中国历史（中国孩子的历史启蒙，真正写给孩子看的中国通史，全彩铜版14册）","1067853","99.8","陈卫平","新世界出版社","138.40","355.00"
"107","五味太郎：小金鱼逃走了","344056","100","五味太郎","新星出版社","17.50","35.00"
"108","天堂旅行团（随机寄语印签环衬+精编小册子，继《全世界》《云边》之后，张嘉佳新书2021全新长篇力作）","137565","100","张嘉佳","湖南文艺出版社","38.00","48.00"
"109","人间值得（90岁心理医生恒子奶奶写给生活的哲思小书。十点读书、《读者》2019年度“十大影响力好书”、人民日报力荐2020新年书单。）","676868","100","中村恒子","北京日报出版社","24.90","49.90"
"110","画给孩子的中国历史 : 精装彩绘本（地图里的上下五千年，孩子拿起来就放不下。）","287927","100","柳萍","吉林美术出版社","58.00","58.00"
"111","小鸡球球触感玩具书:全5册（升级点读版，纸板书、触摸发声书、翻翻书、洞洞书）","487739","99.9","作绘者","新星出版社","126.70","325.00"
"112","呼兰河传(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 180000多名读者热评！","278789","100","萧红","南方出版社","13.40","15.80"
