60	58
67	84
63	83
77	79
76	87
59	78
75	89
53	77
66	66
63	57
52	83
65	73
59	87
61	70
66	82
71	90
64	69
60	81
66	84
75	95
42	80
56	75
61	81
72	81
69	75
78	81
62	64
58	67
62	70
86	91
63	74
70	73
66	77
87	94
71	85
78	82
75	74
66	73
64	79
65	71
68	64
73	60
73	73
62	73
63	83
69	85
72	90
67	62
76	88
79	91
55	74
60	78
69	78
69	85
75	85
61	78
60	88
76	78
64	77
61	76
52	83
55	50
44	51
70	89
59	82
59	90
77	86
55	18
57	66
78	95
61	89
58	77
62	86
59	81
58	79
70	54
57	73
66	63
50	41
82	91
78	73
48	67
67	65
56	52
64	75
61	76
60	44
60	63
60	67
79	92
58	77
59	43
64	83
60	47
65	59
70	86
66	77
56	77
61	59
63	63
70	68
79	87
70	56
69	84
48	55
72	81
59	58
65	75
59	80
69	84
65	65
62	70
50	50
51	52
49	89
64	83
44	49
