169	Somalia	HiiraanOnline	2018
170	Somalia	HiiraanOnline	2021
171	Somalia	HiiraanOnline	2019
172	Somalia	HiiraanOnline	2006
173	Somalia	HiiraanOnline	2010
174	Somalia	HiiraanOnline	2019
175	Somalia	HiiraanOnline	2019
176	Somalia	PuntlandPost	2021
177	Somalia	RadioMogadishu	2020
178	Somalia	WardheerNews	2018
179	South Africa	CapeTimes	2017
180	South Africa	EngineeringNews	2015
181	South Africa	IndependentOnline	2005
182	South Africa	IndependentOnline	2013
183	South Africa	IndependentOnline	2006
184	South Africa	IndependentOnline	2010
185	South Africa	IndependentOnline	2023
186	South Africa	IndependentOnline	2002
187	South Africa	IndependentOnline	2023
188	South Africa	IndependentOnline	2005
189	South Africa	IndependentOnline	2023
190	South Africa	IndependentOnline	2023
191	South Africa	IndependentOnline	2023
192	South Africa	IndependentOnline	2014
193	South Africa	IndependentOnline	2015
194	South Africa	IndependentOnline	2013
195	South Africa	IndependentOnline	2006
196	South Africa	IndependentOnline	2022
197	South Africa	IndependentOnline	2017
198	South Africa	IndependentOnline	2017
199	South Africa	IndependentOnline	2013
200	South Africa	Mail&Guardian	2013
201	South Africa	Mail&Guardian	2007
202	South Africa	Mail&Guardian	2013
203	South Africa	Mail&Guardian	2013
204	South Africa	Mail&Guardian	2014
205	South Africa	Mail&Guardian	2011
206	South Africa	Mail&Guardian	2010
207	South Africa	Maverick	2023
208	South Africa	Maverick	2018
209	South Africa	Maverick	2019
210	South Africa	Maverick	2023
211	South Africa	Maverick	2021
212	South Africa	Mercury	2023
213	South Africa	PoliticsWeb	2015
214	South Africa	Polity	2014
215	South Africa	Star	2023
216	South Africa	Star	2023
217	South Africa	Times	2013
218	South Africa	Times	2017
219	South Sudan	Pachodo	2021
220	Sudan	AlBawaba	2007
221	Sudan	AlBawaba	2014
222	Sudan	AlBawaba	2006
223	Sudan	AlBawaba	2019
224	Sudan	AlBawaba	2018
225	Sudan	AlBawaba	2010
226	Tanzania	Citizen	2020
227	Tanzania	Citizen	2023
228	Tanzania	Citizen	2021
229	Tanzania	Citizen	2022
230	Tanzania	Citizen	2023
231	Uganda	Bukedde	2013
232	Uganda	NewVision	2021
233	Uganda	NewVision	2006
234	Uganda	WeeklyObserver	2011
235	Zambia	LusakaTimes(LT)	2018
236	Zambia	LusakaTimes(LT)	2019
237	Zimbabwe	Bulawayo24	2022
238	Zimbabwe	Chronicle	2013
239	Zimbabwe	Chronicle	2022
240	Zimbabwe	Herald	2015
241	Zimbabwe	Herald	2017
242	Zimbabwe	Herald	2023
243	Zimbabwe	Herald	2011
244	Zimbabwe	Herald	2011
245	Zimbabwe	Herald	2015
246	Zimbabwe	Herald	2018
247	Zimbabwe	Herald	2018
248	Zimbabwe	Patriot	2019
249	Zimbabwe	Patriot	2021
250	Zimbabwe	SundayMail	2022
251	Zimbabwe	ZimbabweSituation	2007
252	Zimbabwe	ZimbabweSituation	2006
253	Zimbabwe	ZimbabweSituation	2010
254	Kenya	Standard	2010
255	Kenya	Standard	2009
256	Kenya	Standard	2009
257	Kenya	Standard	2009
258	Kenya	Standard	2010
259	Kenya	Standard	2010
